Compound	DCFS-BTM_bin.3.s	UT12-BTM_bin.10.o	UT12-BTM_bin.14.s	UT12-BTM_bin.9.s	UT19-BTM_bin.1.p	WLLO-BTM_bin.1.o	WLLO-BTM_bin.14.s	WLUP-BTM_bin.10.s	WLUP-BTM_bin.13.s	WLUP-BTM_bin.9.o
Cbl_e0	0	0	0	0	0	0	0	0	0	0
L-Arabinose_e0	0	0	0	0	0	0	0	0	0	0
Amylotriose_e0	0	0	0	0	0	0	0	0	0	0
Galactose_e0	0	0	0	0	0	0	0	2.20798	0	0
L-Aspartate_e0	0	0	0	5.39232	0	0	0	0	0	0
L-Glutamate_e0	0	0	0	6.56887	0	0	0	0	7.98217	0
Maltohexaose_e0	0	0	0	0	0	0	0	98.0933	0.0560986	0
L-Tyrosine_e0	0	0	0	0	1.03498	0	0	0	0	1.39614
L-Methionine_e0	0	0	0	0	1.12264	0	0	0	0	0
L-Phenylalanine_e0	0	0	0	0	1.32523	0	0	0	0	0
Guanosine_e0	0	0	0	0	1.16131	0	0	0	1.86397	0
L-Threonine_e0	0	0	0	0	1.81026	0	0	0	0	0
Formate_e0	0	0	0	0	0	0.0261232	0	0.136681	0.0416722	0
Glycerol-3-phosphate_e0	0	0	0	0	0	1.61697	0	7.29017	2.57942	0
Ornithine_e0	0	0	0	0	0	-2.08125	0	-10.8894	0	0
Ni2+_e0	0	0	0	0	0	0	0	0	0	0
H2S2O3_e0	0	0	0	0	0	0	0	0	0	0
Stachyose_e0	0	0	0	0	0	0.351668	0	0	0	0
chromate_e0	0	0	0	0	0	0	0	0	0	0
Isoprene_e0	0	0	0	0	0	0	0	0	2.95241	0
