Sample,Factor,Value
WY03-TOP_bin.1.o,ala-L-Thr-L_e0,0.68
WY03-TOP_bin.1.o,L-Isoleucine_e0,0.43
WY03-TOP_bin.1.o,gly-asn-L_e0,0.45
WY03-TOP_bin.1.o,L-Valine_e0,0.0
WY03-TOP_bin.1.o,L-Lysine_e0,0.0
WY03-TOP_bin.1.o,Gly-Phe_e0,0.33
WY03-TOP_bin.1.o,meso-2_6-Diaminopimelate_e0,0.63
WY03-TOP_bin.1.o,Gly-Tyr_e0,0.2
WY03-TOP_bin.1.o,ocdca_e0,0.46
WY03-TOP_bin.1.o,Gly-Met_e0,0.26
WY03-TOP_bin.1.o,scale_max,2.5
WY03-TOP_bin.1.o,scale_min,-0.5
WY09-TOP_bin.7.o,O2_e0,2.0
WY09-TOP_bin.7.o,Fumarate_e0,2.0
WY09-TOP_bin.7.o,D-Glucose_e0,1.56
WY09-TOP_bin.7.o,Nitrate_e0,1.2
WY09-TOP_bin.7.o,L-Arginine_e0,0.37
WY09-TOP_bin.7.o,L-Leucine_e0,0.62
WY09-TOP_bin.7.o,ala-L-Thr-L_e0,0.45
WY09-TOP_bin.7.o,L-Isoleucine_e0,0.36
WY09-TOP_bin.7.o,gly-asn-L_e0,0.0
WY09-TOP_bin.7.o,L-Valine_e0,0.53
WY09-TOP_bin.7.o,L-Lysine_e0,0.44
WY09-TOP_bin.7.o,Gly-Phe_e0,0.17
WY09-TOP_bin.7.o,meso-2_6-Diaminopimelate_e0,0.0
WY09-TOP_bin.7.o,Gly-Tyr_e0,0.06
WY09-TOP_bin.7.o,ocdca_e0,0.0
WY09-TOP_bin.7.o,Gly-Met_e0,0.1
WY09-TOP_bin.7.o,scale_max,2.5
WY09-TOP_bin.7.o,scale_min,-0.5
WY15-TOP_bin.4.s,O2_e0,2.0
WY15-TOP_bin.4.s,Fumarate_e0,2.0
WY15-TOP_bin.4.s,D-Glucose_e0,2.0
WY15-TOP_bin.4.s,Nitrate_e0,1.9
WY15-TOP_bin.4.s,L-Arginine_e0,0.7
WY15-TOP_bin.4.s,L-Leucine_e0,0.97
WY15-TOP_bin.4.s,ala-L-Thr-L_e0,0.64
WY15-TOP_bin.4.s,L-Isoleucine_e0,0.7
WY15-TOP_bin.4.s,gly-asn-L_e0,0.61
WY15-TOP_bin.4.s,L-Valine_e0,0.0
WY15-TOP_bin.4.s,L-Lysine_e0,0.77
WY15-TOP_bin.4.s,Gly-Phe_e0,0.5
WY15-TOP_bin.4.s,meso-2_6-Diaminopimelate_e0,0.0
WY15-TOP_bin.4.s,Gly-Tyr_e0,0.29
WY15-TOP_bin.4.s,ocdca_e0,0.24
WY15-TOP_bin.4.s,Gly-Met_e0,0.0
WY15-TOP_bin.4.s,scale_max,2.5
WY15-TOP_bin.4.s,scale_min,-0.5
