Sample,Factor,Value
SRER-TOP_bin.1.p,Ala-Leu_e0,0.55
SRER-TOP_bin.1.p,gly-asn-L_e0,0.54
SRER-TOP_bin.1.p,L-Isoleucine_e0,0.0
SRER-TOP_bin.1.p,gly-pro-L_e0,0.21
SRER-TOP_bin.1.p,scale_max,2.5
SRER-TOP_bin.1.p,scale_min,-0.5
SRER-TOP_bin.3.p,H+_e0,2.0
SRER-TOP_bin.3.p,O2_e0,1.79
SRER-TOP_bin.3.p,D-Glucose_e0,1.22
SRER-TOP_bin.3.p,L-Lysine_e0,0.19
SRER-TOP_bin.3.p,L-Arginine_e0,0.13
SRER-TOP_bin.3.p,ocdca_e0,0.09
SRER-TOP_bin.3.p,Ala-Leu_e0,0.0
SRER-TOP_bin.3.p,gly-asn-L_e0,0.0
SRER-TOP_bin.3.p,L-Isoleucine_e0,0.25
SRER-TOP_bin.3.p,gly-pro-L_e0,0.0
SRER-TOP_bin.3.p,scale_max,2.5
SRER-TOP_bin.3.p,scale_min,-0.5
SRER-TOP_bin.4.p,H+_e0,2.0
SRER-TOP_bin.4.p,O2_e0,1.66
SRER-TOP_bin.4.p,D-Glucose_e0,0.55
SRER-TOP_bin.4.p,L-Lysine_e0,0.07
SRER-TOP_bin.4.p,L-Arginine_e0,0.01
SRER-TOP_bin.4.p,ocdca_e0,0.0
SRER-TOP_bin.4.p,Ala-Leu_e0,0.19
SRER-TOP_bin.4.p,gly-asn-L_e0,0.0
SRER-TOP_bin.4.p,L-Isoleucine_e0,0.13
SRER-TOP_bin.4.p,gly-pro-L_e0,0.0
SRER-TOP_bin.4.p,scale_max,2.5
SRER-TOP_bin.4.p,scale_min,-0.5
STER-TOP_bin.1.s,H+_e0,2.0
STER-TOP_bin.1.s,O2_e0,2.0
STER-TOP_bin.1.s,D-Glucose_e0,1.34
STER-TOP_bin.1.s,L-Lysine_e0,0.37
STER-TOP_bin.1.s,L-Arginine_e0,0.31
STER-TOP_bin.1.s,ocdca_e0,0.2
STER-TOP_bin.1.s,Ala-Leu_e0,0.0
STER-TOP_bin.1.s,gly-asn-L_e0,0.14
STER-TOP_bin.1.s,L-Isoleucine_e0,0.41
STER-TOP_bin.1.s,gly-pro-L_e0,0.18
STER-TOP_bin.1.s,scale_max,2.5
STER-TOP_bin.1.s,scale_min,-0.5
