Sample,Factor,Value
UT12-BTM_bin.6.o,scale_min,-0.5
WLLO-BTM_bin.17.o,O2_e0,2.0
WLLO-BTM_bin.17.o,D-Glucose_e0,2.0
WLLO-BTM_bin.17.o,Nitrate_e0,2.0
WLLO-BTM_bin.17.o,Maltose_e0,1.54
WLLO-BTM_bin.17.o,L-Arginine_e0,0.79
WLLO-BTM_bin.17.o,L-Leucine_e0,0.97
WLLO-BTM_bin.17.o,ala-L-Thr-L_e0,0.87
WLLO-BTM_bin.17.o,L-Isoleucine_e0,0.78
WLLO-BTM_bin.17.o,gly-asn-L_e0,0.7
WLLO-BTM_bin.17.o,L-Valine_e0,0.95
WLLO-BTM_bin.17.o,L-Lysine_e0,0.86
WLLO-BTM_bin.17.o,Gly-Phe_e0,0.59
WLLO-BTM_bin.17.o,meso-2_6-Diaminopimelate_e0,0.0
WLLO-BTM_bin.17.o,Gly-Tyr_e0,0.45
WLLO-BTM_bin.17.o,ocdca_e0,0.75
WLLO-BTM_bin.17.o,Ala-His_e0,0.3
WLLO-BTM_bin.17.o,Myristic acid_e0,0.0
WLLO-BTM_bin.17.o,UMP_e0,0.0
WLLO-BTM_bin.17.o,Gly-Met_e0,0.13
WLLO-BTM_bin.17.o,scale_max,2.5
WLLO-BTM_bin.17.o,scale_min,-0.5
WLLO-BTM_bin.18.o,O2_e0,2.0
WLLO-BTM_bin.18.o,D-Glucose_e0,1.56
WLLO-BTM_bin.18.o,Nitrate_e0,0.0
WLLO-BTM_bin.18.o,Maltose_e0,0.0
WLLO-BTM_bin.18.o,L-Arginine_e0,0.36
WLLO-BTM_bin.18.o,L-Leucine_e0,0.63
WLLO-BTM_bin.18.o,ala-L-Thr-L_e0,0.29
WLLO-BTM_bin.18.o,L-Isoleucine_e0,0.48
WLLO-BTM_bin.18.o,gly-asn-L_e0,0.27
WLLO-BTM_bin.18.o,L-Valine_e0,0.51
WLLO-BTM_bin.18.o,L-Lysine_e0,0.42
WLLO-BTM_bin.18.o,Gly-Phe_e0,0.15
WLLO-BTM_bin.18.o,meso-2_6-Diaminopimelate_e0,0.0
WLLO-BTM_bin.18.o,Gly-Tyr_e0,0.05
WLLO-BTM_bin.18.o,ocdca_e0,0.0
WLLO-BTM_bin.18.o,Ala-His_e0,0.0
WLLO-BTM_bin.18.o,Myristic acid_e0,0.14
WLLO-BTM_bin.18.o,UMP_e0,0.21
WLLO-BTM_bin.18.o,Gly-Met_e0,0.0
WLLO-BTM_bin.18.o,scale_max,2.5
WLLO-BTM_bin.18.o,scale_min,-0.5
WLLO-BTM_bin.20.o,O2_e0,2.0
WLLO-BTM_bin.20.o,D-Glucose_e0,1.41
WLLO-BTM_bin.20.o,Nitrate_e0,0.0
WLLO-BTM_bin.20.o,Maltose_e0,0.0
WLLO-BTM_bin.20.o,L-Arginine_e0,0.31
WLLO-BTM_bin.20.o,L-Leucine_e0,0.58
WLLO-BTM_bin.20.o,ala-L-Thr-L_e0,0.24
WLLO-BTM_bin.20.o,L-Isoleucine_e0,0.43
WLLO-BTM_bin.20.o,gly-asn-L_e0,0.22
WLLO-BTM_bin.20.o,L-Valine_e0,0.47
WLLO-BTM_bin.20.o,L-Lysine_e0,0.0
WLLO-BTM_bin.20.o,Gly-Phe_e0,0.11
WLLO-BTM_bin.20.o,meso-2_6-Diaminopimelate_e0,0.41
WLLO-BTM_bin.20.o,Gly-Tyr_e0,0.0
WLLO-BTM_bin.20.o,ocdca_e0,0.0
WLLO-BTM_bin.20.o,Ala-His_e0,0.0
WLLO-BTM_bin.20.o,Myristic acid_e0,0.0
WLLO-BTM_bin.20.o,UMP_e0,0.0
WLLO-BTM_bin.20.o,Gly-Met_e0,0.0
WLLO-BTM_bin.20.o,scale_max,2.5
WLLO-BTM_bin.20.o,scale_min,-0.5
WLLO-BTM_bin.21.o,O2_e0,2.0
WLLO-BTM_bin.21.o,D-Glucose_e0,1.48
WLLO-BTM_bin.21.o,Nitrate_e0,0.0
WLLO-BTM_bin.21.o,Maltose_e0,0.0
WLLO-BTM_bin.21.o,L-Arginine_e0,0.45
WLLO-BTM_bin.21.o,L-Leucine_e0,0.72
WLLO-BTM_bin.21.o,ala-L-Thr-L_e0,0.53
WLLO-BTM_bin.21.o,L-Isoleucine_e0,0.44
WLLO-BTM_bin.21.o,gly-asn-L_e0,0.36
WLLO-BTM_bin.21.o,L-Valine_e0,0.61
WLLO-BTM_bin.21.o,L-Lysine_e0,0.0
WLLO-BTM_bin.21.o,Gly-Phe_e0,0.25
WLLO-BTM_bin.21.o,meso-2_6-Diaminopimelate_e0,0.55
WLLO-BTM_bin.21.o,Gly-Tyr_e0,0.14
WLLO-BTM_bin.21.o,ocdca_e0,0.0
WLLO-BTM_bin.21.o,Ala-His_e0,0.0
WLLO-BTM_bin.21.o,Myristic acid_e0,0.0
WLLO-BTM_bin.21.o,UMP_e0,0.3
WLLO-BTM_bin.21.o,Gly-Met_e0,0.18
WLLO-BTM_bin.21.o,scale_max,2.5
WLLO-BTM_bin.21.o,scale_min,-0.5
WLLO-BTM_bin.25.o,O2_e0,2.0
WLLO-BTM_bin.25.o,D-Glucose_e0,2.0
WLLO-BTM_bin.25.o,Nitrate_e0,1.84
WLLO-BTM_bin.25.o,Maltose_e0,0.0
WLLO-BTM_bin.25.o,L-Arginine_e0,0.0
WLLO-BTM_bin.25.o,L-Leucine_e0,0.0
WLLO-BTM_bin.25.o,ala-L-Thr-L_e0,0.64
WLLO-BTM_bin.25.o,L-Isoleucine_e0,0.55
WLLO-BTM_bin.25.o,gly-asn-L_e0,0.47
WLLO-BTM_bin.25.o,L-Valine_e0,0.71
WLLO-BTM_bin.25.o,L-Lysine_e0,0.0
WLLO-BTM_bin.25.o,Gly-Phe_e0,0.36
WLLO-BTM_bin.25.o,meso-2_6-Diaminopimelate_e0,0.66
