Order,KO,Organism,Sample,Average,Stdev
b8,K00020,2_Chthoniobacterales,3_SubHigh,0.5,0.527046277
b8,K00020,2_Chthoniobacterales,4_SubLow,0,0
b8,K00020,3_Rokubacterales,3_SubHigh,0.166666667,0.40824829
b8,K00020,4_Burkholderiales,4_SubLow,2.75,1.707825128
b9,K00140,1_Rhizobiales,1_SurfHigh,1,0.774596669
b9,K00140,1_Rhizobiales,2_SurfLow,0.625,0.718795288
b9,K00140,1_Rhizobiales,3_SubHigh,1,0.648885685
b9,K00140,1_Rhizobiales,4_SubLow,0,0
b9,K00140,2_Chthoniobacterales,1_SurfHigh,0.6,0.894427191
b9,K00140,2_Chthoniobacterales,2_SurfLow,0.2,0.447213595
b9,K00140,2_Chthoniobacterales,3_SubHigh,0.3,0.483045892
b9,K00140,2_Chthoniobacterales,4_SubLow,0,0
b9,K00140,3_Rokubacterales,3_SubHigh,0,0
b9,K00140,4_Burkholderiales,4_SubLow,1,0
c7,K08683,1_Rhizobiales,1_SurfHigh,0.636363636,0.674199862
c7,K08683,1_Rhizobiales,2_SurfLow,0.4375,0.62915287
c7,K08683,1_Rhizobiales,3_SubHigh,0.5,0.512989176
c7,K08683,1_Rhizobiales,4_SubLow,0.333333333,0.577350269
c7,K08683,2_Chthoniobacterales,1_SurfHigh,0,0
c7,K08683,2_Chthoniobacterales,2_SurfLow,0,0
c7,K08683,2_Chthoniobacterales,3_SubHigh,0,0
c7,K08683,2_Chthoniobacterales,4_SubLow,0,0
c7,K08683,3_Rokubacterales,3_SubHigh,0,0
c7,K08683,4_Burkholderiales,4_SubLow,0,0
c8,K00632,1_Rhizobiales,1_SurfHigh,0.363636364,0.504524979
c8,K00632,1_Rhizobiales,2_SurfLow,0.375,0.806225775
c8,K00632,1_Rhizobiales,3_SubHigh,0.4,0.598243042
c8,K00632,1_Rhizobiales,4_SubLow,1.333333333,0.577350269
c8,K00632,2_Chthoniobacterales,1_SurfHigh,0.6,0.894427191
c8,K00632,2_Chthoniobacterales,2_SurfLow,0,0
c8,K00632,2_Chthoniobacterales,3_SubHigh,0.1,0.316227766
c8,K00632,2_Chthoniobacterales,4_SubLow,0,0
c8,K00632,3_Rokubacterales,3_SubHigh,0.166666667,0.40824829
c8,K00632,4_Burkholderiales,4_SubLow,1,1.154700538
d10a,K01965,1_Rhizobiales,1_SurfHigh,0.181818182,0.404519917
d10a,K01965,1_Rhizobiales,2_SurfLow,0.75,0.577350269
d10a,K01965,1_Rhizobiales,3_SubHigh,0.65,0.489360485
d10a,K01965,1_Rhizobiales,4_SubLow,0.333333333,0.577350269
d10a,K01965,2_Chthoniobacterales,1_SurfHigh,0,0
d10a,K01965,2_Chthoniobacterales,2_SurfLow,0,0
d10a,K01965,2_Chthoniobacterales,3_SubHigh,0,0
d10a,K01965,2_Chthoniobacterales,4_SubLow,0.5,0.577350269
d10a,K01965,3_Rokubacterales,3_SubHigh,0.333333333,0.516397779
d10a,K01965,4_Burkholderiales,4_SubLow,0.25,0.5
d10b,K01966,1_Rhizobiales,1_SurfHigh,0.454545455,0.687551651
d10b,K01966,1_Rhizobiales,2_SurfLow,0.5625,0.512347538
