,DCFS-BTM_bin.3.s,UT12-BTM_bin.10.o,UT12-BTM_bin.14.s,UT12-BTM_bin.9.s,UT19-BTM_bin.1.p,WLLO-BTM_bin.1.o,WLLO-BTM_bin.14.s,WLUP-BTM_bin.10.s,WLUP-BTM_bin.13.s,WLUP-BTM_bin.9.o,CLBJ-BTM_bin.2.o,DELA-BTM_bin.5.s,TEAK-BTM_bin.1.o,TEAK-BTM_bin.9.s,KONZ-TOP_bin.5.s,KONZ-TOP_bin.6.o,KONZ-TOP_bin.7.p,NWBC-TOP_bin.4.o,ORNL-TOP_bin.2.p,OCTU-TOP_bin.16.o,OCTU-TOP_bin.25.o,OCTU-TOP_bin.9.o,OSBS-TOP_bin.2.o,PPRH-TOP_bin.21.o
L-Serine_e0,0.736948,0.0,0.0,0.0,1.72175,0.0,0.850143,0.0,0.0,2.32256,1.01744,1.63199,0.0,2.15266,2.28265,0.0,0.725336,0.0,0.0,2.85349,0.0,3.11637,0.0,2.53923
dGTP_e0,0.173971,0.0,0.0,0.227204,0.0,0.0,0.067844,0.570485,0.0,0.0,0,0,0,0,0.146954,0.147427,0.0466963,0.0,0.0,0.0,0.0,0.0,0.0,0.216582
Lanosterol_e0,0.514735,0.422617,0.4142,0.177349,0.406534,0.1055,0.200733,2.09232,0.0,0.548396,0.236585,0.458259,0.102318,0.482677,0.415743,0.0,0.171264,0.269216,1.11979,0.604407,0.109209,0.698764,0.504236,0.640809
Heme_e0,0.0546406,0.0552149,0.0541151,0.0878276,0.0531136,0.0424502,0.0262257,0.136681,0.0833443,0.0716479,0.0251143,0.0486455,0.0506704,0.0512376,0.0704166,0.070643,0.0181802,0.118635,0.11887,0.0789657,0.0481247,0.0912934,0.0329392,0.0837217
Aminoethanol_e0,0.115629,0.0949357,0.0,0.0,0.0913228,0.0,0.0450921,0.470014,0.0,0.12319,0.053146,0.102942,0.0,0.0,0.121073,0.121463,0.0384723,0.0,0.251548,0.0,0.0,0.0,0.0,0.14395
S-Adenosyl-L-methionine_e0,0.033625,0.0,0.0,0.0439138,0.0,1.10431,0.0,0.136681,0.0,1.3463,0.0,0.0299357,0.0,0.0315309,0.0,1.49316,0.409262,0.0,0.0731505,0.0,0.0,0.0,0.0329392,0.0
L-Lysine_e0,3.09961,2.5449,2.49422,0.0,0.0,2.40808,0.0,0.0,0.0,0.0,0,0,0,0,3.24556,0.0,1.03131,0.0,6.74314,0.0,0.0,0.0,3.0364,0.0
D-Lactate_e0,-0.0126094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0118241,0,0,0,0,0,0,0,0,0,0
Na+_e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-Malate_e0,0.0126094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118241,0.0,0.0,0.0,0.0,-89.0577,0,0,0,0,0
ocdca_e0,0.92503,0.759485,0.744358,1.20808,1.90548,0.718653,0.9548,9.26227,1.14641,0.985523,0.425168,0.823536,0.696976,0.867419,0.968586,2.42925,0.814629,1.63183,2.01238,1.08618,0.661959,1.25575,2.39818,1.1516
Cu2+_e0,0.033625,0.0276074,0.0270576,0.0439138,0.0265568,0.0261232,0.0131129,0.136681,0.0416722,0.0358239,0.0154549,0.0299357,0.0253352,0.0315309,0.0352083,0.0353215,0.0111878,0.0593173,0.0731505,0.0394829,0.0240623,0.0456467,0.0329392,0.0418608
L-Tryptophan_e0,0.512573,0.420842,0.41246,0.669413,0.404827,0.398217,0.19989,2.08353,0.635242,0.546093,0.235592,0.456334,0.386205,0.48065,0.536708,0.538434,0.170545,0.0,1.11509,0.601869,0.366802,0.695829,0.502119,0.638118
Oxidized glutathione_e0,0.447068,0.0138037,0.0,0.0,0.339813,0.0,0.167788,0.0,0.0,0.458393,0.00772746,0.0,0.324182,0.0157654,0.468119,0.0,0.143156,0.0,0.0,0.505211,0.307895,0.584082,0.0,0.535639
ddca_e0,1.35797,1.11495,1.09274,0.0,0.846693,1.055,0.529572,1.10399,1.68296,1.44678,0.624158,0.0,1.02318,0.0,1.42191,0.285297,0.451827,0.0,2.95423,1.59454,0.0,0.0,1.32821,1.69058
Gly-Gln_e0,0.117303,0.0,5.58377,0.0,0.0,0.0,0.0,0.0,0.0,0.635298,0.0,0.0,0.0,0.0,3.94041,4.11396,0.0,0.0,0.0,0.0,4.63524,0.0,0.0,0.0
Gly-Tyr_e0,1.31045,1.07593,1.0545,1.71142,0.0,1.01808,0.511039,5.32677,1.49905,0.0,0.0,1.16667,0.987373,0.0,1.26652,1.2706,0.436015,2.31173,2.85085,0.0,0.937766,0.0,1.28372,1.63142
meso-2_6-Diaminopimelate_e0,0.271594,0.222989,0.218548,4.40275,2.66256,0.211001,1.31468,13.7035,4.17801,3.59167,1.5495,3.00132,2.54008,3.16125,0.284382,3.5413,0.0903655,5.94709,0.590847,3.95851,2.41247,4.57649,0.266055,4.19692
L-Asparagine_e0,1.67436,0.0,0.0,0.0,1.01908,0.0,0.989882,0.0,0.0,2.32347,1.00238,0.0,0.0,0.0,2.28354,0.0,0.725619,0.0,0.0,0,0,0,0,0
Thiamin_e0,0.033625,0.0276074,0.0,0.0439138,0.0265568,0.0,0.0131129,0.0,0.0,0.0,0.0154549,0.0299357,0.0,0.0315309,0.0,0.0353215,0.0111878,0.0,0.0731505,0.0,0.0240623,0.0,0.0329392,0.0418608
